item_id,item_type,item_name,det_target,det_competitor,option1,option2,option3,option4,mentioned_element,mentioned_file,unmentioned_element,unmentioned_file,picture1,picture2,picture3,picture4,question,question_file,answer_file,target_position,list,complete_answer,incomplete_answer,chunked_answer,expected_response,target,competitor,condition,DP,picture_target,picture_competitor
1,critical,wolf-dog,der,der,Wolf,Hund,holdfast,americangoldfinch,wolf,greywolf.jpg,dog,greyhound.jpg,images/greywolf.jpg,images/greyhound.jpg,images/holdfast.jpg,images/americangoldfinch.jpg,Ist das ein Bild von einem Wolf?,q_r_wolf.wav,r_t_wolf.wav,1,1,Das ist tatsächlich ein Bild von einem Wolf.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Wolf.,Wolf,Wolf,Hund,reliable,indeed,greywolf.jpg,greyhound.jpg
50,critical,tire-life-preserver,der,der,Reifen,mortarandpestle,shelf,Rettungsring,tire,tire.jpg,life-preserver,lifesaver.jpg,images/tire.jpg,images/mortarandpestle.jpg,images/shelf.jpg,images/lifesaver.jpg,Ist das ein Bild von einem Reifen?,q_r_reifen.wav,r_t_reifen.wav,2,5,Das ist tatsächlich ein Bild von einem Reifen.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Reifen.,Reifen,Reifen,Rettungsring,reliable,indeed,tire.jpg,lifesaver.jpg
51,critical,boat-ship,das,das,Boot,Schiff,puzzle,fern,boat,sailboat.jpg,ship,cruiseship.jpg,images/sailboat.jpg,images/cruiseship.jpg,images/puzzle.jpg,images/fern.jpg,Ist das ein Bild von einem Boot?,q_r_boot.wav,r_t_boot.wav,3,6,Das ist tatsächlich ein Bild von einem Boot.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Boot.,Boot,Boot,Schiff,reliable,indeed,sailboat.jpg,cruiseship.jpg
52,critical,snow-shovel-rake,die,die,tie02,Schneeschippe,Harke,amphora,snow-shovel,snowshovel.jpg,rake,leafrake.jpg,images/tie02.jpg,images/snowshovel.jpg,images/leafrake.jpg,images/amphora.jpg,Ist das ein Bild von einer Schneeschippe?,q_r_schneeschippe.wav,r_t_schneeschippe.wav,4,6,Das ist tatsächlich ein Bild von einer Schneeschippe.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Schneeschippe.,Schneeschippe,Schneeschippe,Harke,reliable,indeed,snowshovel.jpg,leafrake.jpg
53,critical,recorder-clarinet,die,die,flag,bench01,Flöte,Klarinette,recorder,recorder04.jpg,clarinet,clarinet.jpg,images/flag.jpg,images/bench01.jpg,images/recorder04.jpg,images/clarinet.jpg,Ist das ein Bild von einer Flöte?,q_r_floete.wav,r_t_floete.wav,1,6,Das ist tatsächlich ein Bild von einer Flöte.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Flöte.,Flöte,Flöte,Klarinette,reliable,indeed,recorder04.jpg,clarinet.jpg
54,critical,cigar-pipe,die,die,Pfeife,balalaika,webcam,Zigarre,cigar,cigar.jpg,pipe,smokingpipe.jpg,images/smokingpipe.jpg,images/balalaika.jpg,images/webcam.jpg,images/cigar.jpg,Ist das ein Bild von einer Zigarre?,NA,r_t_zigarre.wav,2,6,Das ist tatsächlich ein Bild von einer Zigarre.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Zigarre.,Zigarre,Zigarre,Pfeife,reliable,indeed,cigar.jpg,smokingpipe.jpg
55,critical,coat-rack-lamp,die,die,Gardarobe,Lampe,espressomachine,microwave,coat-rack,coatrack.jpg,lamp,floorlamp.jpg,images/coatrack.jpg,images/floorlamp.jpg,images/espressomachine.jpg,images/microwave.jpg,Ist das ein Bild von einer Garderobe?,q_r_gadrobe.wav,r_t_garderobe.wav,3,6,Das ist tatsächlich ein Bild von einer Gardarobe.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Gardarobe.,Gardarobe,Gardarobe,Lampe,reliable,indeed,coatrack.jpg,floorlamp.jpg
56,critical,salt-shaker-showerhead,der,der,servingspoon01,Duschkopf,Salzstreuer,doorhandle,salt-shaker,saltshaker03a.jpg,showerhead,showerhead01.jpg,images/servingspoon01.jpg,images/showerhead01.jpg,images/saltshaker03a.jpg,images/doorhandle.jpg,Ist das ein Bild von einem Salzstreuer?,q_r_salzstreuer.wav,r_t_salzstreuer.wav,4,6,Das ist tatsächlich ein Bild von einem Salzstreuer.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Salzstreuer.,Salzstreuer,Salzstreuer,Duschkopf,reliable,indeed,saltshaker03a.jpg,showerhead01.jpg
57,critical,trombone-tuba,die,die,townsquarepostclock,electricoutlet,Tuba,Posaune,trombone,trombone.jpg,tuba,tuba.jpg,images/townsquarepostclock.jpg,images/electricoutlet.jpg,images/tuba.jpg,images/trombone.jpg,Ist das ein Bild von einer Posaune?,q_r_posaune.wav,r_t_posaune.wav,1,6,Das ist tatsächlich ein Bild von einer Posaune.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Posaune.,Posaune,Posaune,Tuba,reliable,indeed,trombone.jpg,tuba.jpg
58,critical,cable-hose,das,der,Kabel,diploma01,clover,Schlauch,cable,usbcable01a.jpg,hose,hose.jpg,images/usbcable01a.jpg,images/diploma01.jpg,images/clover.jpg,images/hose.jpg,Ist das ein Bild von einem Kabel?,q_r_kabel1.wav,r_t_kabel.wav,2,6,Das ist tatsächlich ein Bild von einem Kabel.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Kabel.,Kabel,Kabel,Schlauch,reliable,indeed,usbcable01a.jpg,hose.jpg
59,critical,wreath-hula-hoop,der,der,Kranz,Hula-hoop Reifen,keyhole,wetfloorsign,wreath,christmaswreath.jpg,hula-hoop,hulahoop.jpg,images/christmaswreath.jpg,images/hulahoop.jpg,images/keyhole.jpg,images/wetfloorsign.jpg,Ist das ein Bild von einem Kranz?,q_r_kranz.wav,r_t_kranz.wav,3,6,Das ist tatsächlich ein Bild von einem Kranz.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Kranz.,Kranz,Kranz,Hula-hoop Reifen,reliable,indeed,christmaswreath.jpg,hulahoop.jpg
60,critical,saxophone-cornet,das,das,revolver,Saxophon,Kornett,shower,saxophone,saxophone.jpg,cornet,cornet.jpg,images/revolver.jpg,images/saxophone.jpg,images/cornet.jpg,images/shower.jpg,Ist das ein Bild von einem Saxophon?,q_r_saxophon.wav,r_t_saxophon.wav,4,6,Das ist tatsächlich ein Bild von einem Saxophon.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Saxophon.,Saxophon,Saxophon,Kornett,reliable,indeed,saxophone.jpg,cornet.jpg
61,critical,strainer-plastic-basket,das,der,Sieb,Korb,alarmclock01,apple07,strainer,strainer02.jpg,plastic-basket,plasticbasket01a.jpg,images/strainer02.jpg,images/plasticbasket01a.jpg,images/alarmclock01.jpg,images/apple07.jpg,Ist das ein Bild von einem Sieb?,q_u_sieb.wav,u_e_sieb.wav,1,7,Das ist eigentlich ein Bild von einem Sieb.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Sieb.,Sieb,Sieb,Korb,unreliable,actually,strainer02.jpg,plasticbasket01a.jpg
62,critical,stapler-staple-remover,der,der,icecreamcone01a,Tacker,Heftklammerentferner,tank,stapler,stapler03a.jpg,staple-remover,stapleremover.jpg,images/icecreamcone01a.jpg,images/stapler03a.jpg,images/stapleremover.jpg,images/tank.jpg,Ist das ein Bild von einem Tacker?,q_u_tacker.wav,u_e_tacker.wav,2,7,Das ist eigentlich ein Bild von einem Tacker.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Tacker.,Tacker,Tacker,Heftklammerentferner,unreliable,actually,stapler03a.jpg,stapleremover.jpg
63,critical,lock-hinge,das,das,starfish01,puzzlepiece,Schloss,Scharniergelenk,lock,doorlock.jpg,hinge,hinge.jpg,images/starfish01.jpg,images/puzzlepiece.jpg,images/doorlock.jpg,images/hinge.jpg,Ist das ein Bild von einem Schloss?,q_u_schloss.wav,u_e_schloss.wav,3,7,Das ist eigentlich ein Bild von einem Schloss.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Schloss.,Schloss,Schloss,Scharniergelenk,unreliable,actually,doorlock.jpg,hinge.jpg
64,critical,teapot-watering-can,die,die,Gießkanne,fork03c,giftbag01a,Teekanne,teapot,teapot.jpg,watering-can,wateringcan.jpg,images/wateringcan.jpg,images/fork03c.jpg,images/giftbag01a.jpg,images/teapot.jpg,Ist das ein Bild von einer Teekanne?,q_u_teekanne.wav,u_e_teekanne.wav,4,7,Das ist eigentlich ein Bild von einer Teekanne.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Teekanne.,Teekanne,Teekanne,Gießkanne,unreliable,actually,teapot.jpg,wateringcan.jpg
65,critical,frying-pan-pot,der,der,Topf,Wok,whisk,fan,frying-pan,fryingpan02a.jpg,pot,pot02a.jpg,images/pot02a.jpg,images/fryingpan02a.jpg,images/whisk.jpg,images/fan.jpg,Ist das ein Bild von einem Wok?,q_u_wok.wav,u_e_wok.wav,1,7,Das ist eigentlich ein Bild von einem Wok.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Wok.,Wok,Wok,Topf,unreliable,actually,fryingpan02a.jpg,pot02a.jpg
66,critical,tweezers-tongs,die,die,cd,Grillzange,Pinzette,candle08b,tweezers,tweezers02a.jpg,tongs,tongs01b.jpg,images/cd.jpg,images/tongs01b.jpg,images/tweezers02a.jpg,images/candle08b.jpg,Ist das ein Bild von einer Pinzette?,q_u_pinsette.wav,u_e_pinzette.wav,2,7,Das ist eigentlich ein Bild von einer Pinzette.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Pinzette.,Pinzette,Pinzette,Grillzange,unreliable,actually,tweezers02a.jpg,tongs01b.jpg
67,critical,measuring-cup-beer-mug,der,der,tray,globe,Bierkrug,Messbecher,measuring-cup,measuringcup01.jpg,beer-mug,beermug01a.jpg,images/tray.jpg,images/globe.jpg,images/beermug01a.jpg,images/measuringcup01.jpg,Ist das ein Bild von einem Messbecher?,q_u_messbecher.wav,u_e_messbecher.wav,3,7,Das ist eigentlich ein Bild von einem Messbecher.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Messbecher.,Messbecher,Messbecher,Bierkrug,unreliable,actually,measuringcup01.jpg,beermug01a.jpg
68,critical,needlenose-pliers-scissors,die,die,Kneifzange,computermouse06,lamp04a,Schere,needlenose-pliers,needlenosepliers01.jpg,scissors,scissors01.jpg,images/needlenosepliers01.jpg,images/computermouse06.jpg,images/lamp04a.jpg,images/scissors01.jpg,Ist das ein Bild von einer Kneifzange?,q_u_kneifzange.wav,u_e_kneifzange.wav,4,7,Das ist eigentlich ein Bild von einer Kneifzange.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Kneifzange.,Kneifzange,Kneifzange,Schere,unreliable,actually,needlenosepliers01.jpg,scissors01.jpg
69,critical,garlic-press-grater,die,die,Knoblauchpresse,Reibe,mascarabrush,battery02b,garlic-press,garlicpress02a.jpg,grater,grater01a.jpg,images/garlicpress02a.jpg,images/grater01a.jpg,images/mascarabrush.jpg,images/battery02b.jpg,Ist das ein Bild von einer Knoblauchpresse?,q_u_knoblauchpresse.wav,u_e_knoblauchpresse.wav,1,7,Das ist eigentlich ein Bild von einer Knoblauchpresse.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Knoblauchpresse.,Knoblauchpresse,Knoblauchpresse,Reibe,unreliable,actually,garlicpress02a.jpg,grater01a.jpg
70,critical,car-key-usb-stick,der,der,screwdriver04b,Autoschlüssel,USB-Stick,binoculars01b,car-key,carkey.jpg,usb-stick,usbkey.jpg,images/screwdriver04b.jpg,images/carkey.jpg,images/usbkey.jpg,images/binoculars01b.jpg,Ist das ein Bild von einem Autoschlüssel?,q_u_autoschluessel.wav,u_e_autoschluessel.wav,2,7,Das ist eigentlich ein Bild von einem Autoschlüssel.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Autoschlüssel.,Autoschlüssel,Autoschlüssel,USB-Stick,unreliable,actually,carkey.jpg,usbkey.jpg
71,critical,squeegee-razor,der,der,bracelet04,metronome,Fensterabzieher,Rasierer,squeegee,squeegee01b.jpg,razor,razor01.jpg,images/bracelet04.jpg,images/metronome.jpg,images/squeegee01b.jpg,images/razor01.jpg,Ist das ein Bild von einem Fensterabzieher?,q_u_fensterabszieher.wav,u_e_fensterabzieher.wav,3,8,Das ist eigentlich ein Bild von einem Fensterabzieher.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Fensterabzieher.,Fensterabzieher,Fensterabzieher,Rasierer,unreliable,actually,squeegee01b.jpg,razor01.jpg
72,critical,electric-razor-hair-clipper,der,der,Haarschneider,hanger02a,shirt01,Elektrorasierer,electric-razor,electricrazor.jpg,hair-clipper,hairclipper.jpg,images/hairclipper.jpg,images/hanger02a.jpg,images/shirt01.jpg,images/electricrazor.jpg,Ist das ein Bild von einem Elektrorasierer?,q_u_elektrorasierer.wav,u_e_elektrorasierer.wav,4,8,Das ist eigentlich ein Bild von einem Elektrorasierer.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Elektrorasierer.,Elektrorasierer,Elektrorasierer,Haarschneider,unreliable,actually,electricrazor.jpg,hairclipper.jpg
73,critical,jack-drill-bit,der,der,Bohrer,Stecker,measuringtape01,pencilsharpener02a,jack,jack.jpg,drill-bit,drillbit03a.jpg,images/drillbit03a.jpg,images/jack.jpg,images/measuringtape01.jpg,images/pencilsharpener02a.jpg,Ist das ein Bild von einem Stecker?,q_u_stecker.wav,u_e_stecker.wav,1,8,Das ist eigentlich ein Bild von einem Stecker.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Stecker.,Stecker,Stecker,Bohrer,unreliable,actually,jack.jpg,drillbit03a.jpg
74,critical,paper-clip-safety-pin,die,die,peppermill02b,Sicherheitsnadel,Büroklammer,spraybottle01,paper-clip,paperclip03.jpg,safety-pin,safetypin.jpg,images/peppermill02b.jpg,images/safetypin.jpg,images/paperclip03.jpg,images/spraybottle01.jpg,Ist das ein Bild von einer Büroklammer?,q_u_bueroklammer.wav,u_e_bueroklammer.wav,2,8,Das ist eigentlich ein Bild von einer Büroklammer.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Büroklammer.,Büroklammer,Büroklammer,Sicherheitsnagel,unreliable,actually,paperclip03.jpg,safetypin.jpg
75,critical,bottle-opener-shoehorn,der,der,candleholder01,leaf02a,Schuhlöffel,Flaschenöffner,bottle-opener,bottleopener01.jpg,shoehorn,shoehorn.jpg,images/candleholder01.jpg,images/leaf02a.jpg,images/shoehorn.jpg,images/bottleopener01.jpg,Ist das ein Bild von einem Flaschenöffner?,q_u_flaschenoeffner.wav,u_e_flaschenoeffner.wav,3,8,Das ist eigentlich ein Bild von einem Flaschenöffner.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Flaschenöffner.,Flaschenöffner,Flaschenöffner,Schuhlöffel,unreliable,actually,bottleopener01.jpg,shoehorn.jpg
76,critical,wallet-glasses-case,das,das,Portemonnaie,bib,mitten04,Brillenetui,wallet,wallet02a.jpg,glasses-case,glassescase.jpg,images/wallet02a.jpg,images/bib.jpg,images/mitten04.jpg,images/glassescase.jpg,Ist das ein Bild von einem Portemonnaie?,q_u_portemonnaie.wav,u_e_portemonnaie.wav,4,8,Das ist eigentlich ein Bild von einem Portemonnaie.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Portemonnaie.,Portemonnaie,Portemonnaie,Brillenetui,unreliable,actually,wallet02a.jpg,glassescase.jpg
77,critical,rope-yarn,das,das,Seil,Wollknäuel,ring01,crayon,rope,rope03.jpg,yarn,yarn.jpg,images/rope03.jpg,images/yarn.jpg,images/ring01.jpg,images/crayon.jpg,Ist das ein Bild von einem Seil?,q_u_seil.wav,u_e_seil.wav,1,8,Das ist eigentlich ein Bild von einem Seil.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Seil.,Seil,Seil,Wollknäuel,unreliable,actually,rope03.jpg,yarn.jpg
78,critical,candle-chalk,die,die,tuque03a,Kerze,Kreide,sewingmachine01a,candle,candle01.jpg,chalk,chalk.jpg,images/tuque03a.jpg,images/candle01.jpg,images/chalk.jpg,images/sewingmachine01a.jpg,Ist das ein Bild von einer Kerze?,q_u_kerze.wav,u_e_kerze.wav,2,8,Das ist eigentlich ein Bild von einer Kerze.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Kerze.,Kerze,Kerze,Kreide,unreliable,actually,candle01.jpg,chalk.jpg
79,critical,match-toothpick,das,der,hairdryer02a,peach01,Streichholz,Zahnstocher,match,match.jpg,toothpick,toothpick02.jpg,images/hairdryer02a.jpg,images/peach01.jpg,images/match.jpg,images/toothpick02.jpg,Ist das ein Bild von einem Streichholz?,q_u_streichholz.wav,u_e_streichholz.wav,3,8,Das ist eigentlich ein Bild von einem Streichholz.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Streichholz.,Streichholz,Streichholz,Zahnstocher,unreliable,actually,match.jpg,toothpick02.jpg
80,critical,broom-glass-mop,der,der,Wischmopp,Besen,cookie01,bungeecord02,broom,broom01.jpg,glass-mop,glassmop.jpg,images/glassmop.jpg,images/broom01.jpg,images/cookie01.jpg,images/bungeecord02.jpg,Ist das ein Bild von einem Besen?,q_u_besen.wav,u_e_besen.wav,4,8,Das ist eigentlich ein Bild von einem Besen.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Besen.,Besen,Besen,Wischmopp,unreliable,actually,broom01.jpg,glassmop.jpg
81,critical,cauliflower-broccoli,der,der,potatomasher03b,ashtray01,Blumenkohl,Broccoli,cauliflower,cauliflower01.jpg,broccoli,broccoli01a.jpg,images/potatomasher03b.jpg,images/ashtray01.jpg,images/cauliflower01.jpg,images/broccoli01a.jpg,Ist das ein Bild von einem Blumenkohl?,q_u_blumenkohl.wav,u_e_blumenkohl.wav,1,9,Das ist eigentlich ein Bild von einem Blumenkohl.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Blumenkohl.,Blumenkohl,Blumenkohl,Broccoli,unreliable,actually,cauliflower01.jpg,broccoli01a.jpg
82,critical,kiwi-coconut,die,die,Kokosnuss,chain01,cigarette,Kiwi,kiwi,kiwi01a.jpg,coconut,coconut.jpg,images/coconut.jpg,images/chain01.jpg,images/cigarette.jpg,images/kiwi01a.jpg,Ist das ein Bild von einer Kiwi?,q_u_kiwi.wav,u_e_kiwi.wav,2,9,Das ist eigentlich ein Bild von einer Kiwi.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Kiwi.,Kiwi,Kiwi,Kokosnuss,unreliable,actually,kiwi01a.jpg,coconut.jpg
83,critical,toast-baguette,das,das,Baguette,Toastbrot,lipstick02a,teabag,toast,toast.jpg,baguette,baguette01.jpg,images/baguette01.jpg,images/toast.jpg,images/lipstick02a.jpg,images/teabag.jpg,Ist das ein Bild von einem Toastbrot?,q_u_toastbrot.wav,u_e_toastbrot.wav,3,9,Das ist eigentlich ein Bild von einem Toastbrot.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Toastbrot.,Toastbrot,Toastbrot,Baguette,unreliable,actually,toast.jpg,baguette01.jpg
84,critical,lime-honeydew-melon,die,die,lightbulb01,Honigmelone,Limette,ladle02a,lime,lime.jpg,honeydew-melon,honeydewmelon.jpg,images/lightbulb01.jpg,images/honeydewmelon.jpg,images/lime.jpg,images/ladle02a.jpg,Ist das ein Bild von einer Limette?,q_u_limette.wav,u_e_limette.wav,4,9,Das ist eigentlich ein Bild von einer Limette.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Limette.,Limette,Limette,Honigmelone,unreliable,actually,lime.jpg,honeydewmelon.jpg
85,critical,tape-recorder-walkman,das,der,shoelace,envelope03a,Walkman,Tonbandgerät,tape-recorder,bus.jpg,walkman,walkman.jpg,images/shoelace.jpg,images/envelope03a.jpg,images/walkman.jpg,images/taperecorder.jpg,Ist das ein Bild von einem Tonbandgerät?,q_u_tonbandgeraet.wav,u_e_tonbandgeraet.wav,1,9,Das ist eigentlich ein Bild von einem Tonbandgerät.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Tonbandgerät.,Tonbandgerät,Tonbandgerät,Walkman,unreliable,actually,bus.jpg,walkman.jpg
86,critical,scarf-rug,der,der,Schal,flask,marker01a,Teppich,scarf,scarf.jpg,rug,rug01.jpg,images/scarf.jpg,images/flask.jpg,images/marker01a.jpg,images/rug01.jpg,Ist das ein Bild von einem Schal?,q_u_schal.wav,u_e_schal.wav,2,9,Das ist eigentlich ein Bild von einem Schal.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Schal.,Schal,Schal,Teppich,unreliable,actually,scarf.jpg,rug01.jpg
87,critical,thimble-thread,der,das,Fingerhut,Garn,racquetballracket,chessboard,thimble,thimble.jpg,thread,thread02.jpg,images/thimble.jpg,images/thread02.jpg,images/racquetballracket.jpg,images/chessboard.jpg,Ist das ein Bild von einem Fingerhut?,q_u_fingerhut.wav,u_e_fingerhut.wav,3,9,Das ist eigentlich ein Bild von einem Fingerhut.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Fingerhut.,Fingerhut,Fingerhut,Garn,unreliable,actually,thimble.jpg,thread02.jpg
88,critical,sunglasses-swim-goggles,die,die,violin,Sonnenbrille,Schwimmbrille,mug01,sunglasses,sunglasses04.jpg,swim-goggles,swimgoggles.jpg,images/violin.jpg,images/sunglasses04.jpg,images/swimgoggles.jpg,images/mug01.jpg,Ist das ein Bild von einer Sonnenbrille?,q_u_sonnenbrille.wav,u_e_sonnenbrille.wav,4,9,Das ist eigentlich ein Bild von einer Sonnenbrille.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Sonnenbrille.,Sonnenbrille,Sonnenbrille,Schwimmbrille,unreliable,actually,sunglasses04.jpg,swimgoggles.jpg
89,critical,onion-potatoe,die,die,toothbrush03b,canister,Zwiebel,Kartoffel,onion,onion.jpg,potatoe,potato02b.jpg,images/toothbrush03b.jpg,images/canister.jpg,images/onion.jpg,images/potato02b.jpg,Ist das ein Bild von einer Zwiebel?,q_u_zwiebel.wav,u_e_zwiebel.wav,1,9,Das ist eigentlich ein Bild von einer Zwiebel.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Zwiebel.,Zwiebel,Zwiebel,Kartoffel,unreliable,actually,onion.jpg,potato02b.jpg
90,critical,raspberry-red-pepper,die,die,Paprika,sandal,plunger02,Himbeere,raspberry,raspberry01.jpg,red-pepper,pepper04a.jpg,images/pepper04a.jpg,images/sandal.jpg,images/plunger02.jpg,images/raspberry01.jpg,Ist das ein Bild von einer Himbeere?,q_u_himbeere.wav,u_e_himbeere.wav,2,9,Das ist eigentlich ein Bild von einer Himbeere.,Das ist eigentlich ein Bild von einer ...,Das ist | eigentlich ein Bild von | einer Himbeere.,Himbeere,Himbeere,Paprika,unreliable,actually,raspberry01.jpg,pepper04a.jpg
91,critical,pen-mechanical-pen,der,der,Druckbleistift,Kugelschreiber,cardboardbox,plate01b,pen,pen04b.jpg,mechanical-pen,mechanicalpencil02.jpg,images/mechanicalpencil02.jpg,images/pen04b.jpg,images/cardboardbox.jpg,images/plate01b.jpg,Ist das ein Bild von einem Kugelschreiber?,q_u_kugelschreiber.wav,u_e_kugelschreiber.wav,3,10,Das ist eigentlich ein Bild von einem Kugelschreiber.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Kugelschreiber.,Kugelschreiber,Kugelschreiber,Druckbleistift,unreliable,actually,pen04b.jpg,mechanicalpencil02.jpg
92,critical,fountain-pen-pencil,der,der,garlic01a,Bleistift,Füller,bikehelmet,fountain-pen,fountainpen.jpg,pencil,pencil01.jpg,images/garlic01a.jpg,images/pencil01.jpg,images/fountainpen.jpg,images/bikehelmet.jpg,Ist das ein Bild von einem Füller?,q_u_fueller.wav,u_e_fueller.wav,4,10,Das ist eigentlich ein Bild von einem Füller.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Füller.,Füller,Füller,Bleistift,unreliable,actually,fountainpen.jpg,pencil01.jpg
93,critical,ping-pong-paddle-lollipop,der,der,eraser,lock03a,Lolli,Tischtennisschläger,ping-pong-paddle,pingpongpaddle01a.jpg,lollipop,lollipop01.jpg,images/eraser.jpg,images/lock03a.jpg,images/lollipop01.jpg,images/pingpongpaddle01a.jpg,Ist das ein Bild von einem Tischtennisschläger?,q_u_tischtennisschlaeger.wav,u_e_tischtennisschlaeger.wav,1,10,Das ist eigentlich ein Bild von einem Tischtennisschläger.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Tischtennisschläger.,Tischtennisschläger,Tischtennisschläger,Lolli,unreliable,actually,pingpongpaddle01a.jpg,lollipop01.jpg
94,critical,belt-rubber-band,der,das,Gürtel,jug,hammer01,Gummiband,belt,belt02a.jpg,rubber-band,rubberband01.jpg,images/belt02a.jpg,images/jug.jpg,images/hammer01.jpg,images/rubberband01.jpg,Ist das ein Bild von einem Gürtel?,q_u_guertel.wav,u_e_guertel.wav,2,10,Das ist eigentlich ein Bild von einem Gürtel.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Gürtel.,Gürtel,Gürtel,Gummiband,unreliable,actually,belt02a.jpg,rubberband01.jpg
95,critical,power-cable-ribbon,das,das,Kabel,Geschenkband,bucket01a,cane,power-cable,powercable.jpg,ribbon,ribbon04.jpg,images/powercable.jpg,images/ribbon04.jpg,images/bucket01a.jpg,images/cane.jpg,Ist das ein Bild von einem Kabel?,q_u_kabel2.wav,u_e_kabel.wav,3,10,Das ist eigentlich ein Bild von einem Kabel.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Kabel.,Kabel,Kabel,Geschenkband,unreliable,actually,powercable.jpg,ribbon04.jpg
96,critical,cabbage-lettuce,der,der,nailclipper03b,Kohl,Salat,pictureframe04,cabbage,cabbage.jpg,lettuce,lettuce.jpg,images/nailclipper03b.jpg,images/cabbage.jpg,images/lettuce.jpg,images/pictureframe04.jpg,Ist das ein Bild von einem Kohl?,q_u_kohl.wav,u_e_kohl.wav,4,10,Das ist eigentlich ein Bild von einem Kohl.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Kohl.,Kohl,Kohl,Salat,unreliable,actually,cabbage.jpg,lettuce.jpg
97,critical,handmixer-iron,der,das,balloon01b,mushroom01,Handmixer,Bügeleisen,handmixer,handmixer01d.jpg,iron,iron01b.jpg,images/balloon01b.jpg,images/mushroom01.jpg,images/handmixer01d.jpg,images/iron01b.jpg,Ist das ein Bild von einem Handmixer?,q_u_handmixer.wav,u_e_handmixer.wav,1,10,Das ist eigentlich ein Bild von einem Handmixer.,Das ist eigentlich ein Bild von einem ...,Das ist | eigentlich ein Bild von | einem Handmixer.,Handmixer,Handmixer,Bügeleisen,unreliable,actually,handmixer01d.jpg,iron01b.jpg
